model,split,temperature,f1,precision_safe,recall_risky,false_safe_rate,review_rate,roc_auc,pr_auc,ece,T_low,T_high
resnet50,Train,0.5144367520942283,0.9847908745247148,0.9844444444444445,0.9661654135338346,0.02631578947368421,0.0028169014084507044,0.9997967892704734,0.9996609069050553,0.0041005949241739535,0.8265023062499938,0.9132511531249969
resnet50,Val,0.5144367520942283,0.9821428571428572,0.979381443298969,0.9298245614035088,0.03508771929824561,0.013157894736842105,0.9988919667590027,0.9982773855975537,0.01860929508210962,0.8265023062499938,0.9132511531249969
resnet50,Test,0.5144367520942283,0.972972972972973,0.9693877551020408,0.9298245614035088,0.05263157894736842,0.006578947368421052,1.0,1.0,0.013255684927553621,0.8265023062499938,0.9132511531249969
